"Amalfi white (Белый)","#fefbf6"
"Arctic Silver (Серебристый металлик)","#d9dadc"
"Atlantis Blue (Синий)","#122E44"
"Aviator Blue Metallic (Голубой металлик)","#8d9d9b"
"Bahia Beige Metallic (Бежевый металлик)","#d0c9ac"
"Brillantrot/Brilliant Red (Красный)","#b51c14"
"Brilliant red (Красный)","#b51c14"
"Caribou brown (Светло-коричневый)","#7C6346"
"Cobalt Blue (Синий металлик)","#29313a"
"Dakota Gray Metallic (Серый металлик)","#9b9ca1"
"Glacier White (Белый ледник)","#CED1D8"
"Ice silver (Серебристый металлик)","#cdd1d1"
"Ipanema Brown Metallic","#95511a"
"Lapiz (Синий металлик)","#2235e3"
"Lava Gray Pearl Effect (Серый)","#3b393a"
"Lotus Grey (Серый металлик)","#868889"
"Misano Red (красный)/Daytona Gray (серый)","#bb1919"
"Panther Black Crystal","#050505"
"Phantom black (Черный перламутр)","#2d3134"
"Platinum beige (Бежевый металлик)","#BEB0A3"
"Quartz Gray Metallic (Серый металлик)","#9ca3a1"
"Samoa orange (Оранжевый металлик)","#e88f09"
"Sepang Blue Matte Effect (Синий)","#002262"
"Shiraz Red (Красный металлик)","#622b31"
"Бежевый, металлик (Carat Beige)","#9c6f4f"
"Бежевый, металлик (Cobra Beige)","#c0aa92"
"Бежевый, перламутр (Impala Beige Pearlescent)","#aba495"
"Белый","#f3f3f3"
"Белый (Carrara White)","#e5e8e1"
"Белый (Cortina White)","#d1d1cb"
"Белый (Ibis white)","#e4e3e3"
"Белый ибис (Ibisweiss)","#f2f2f2"
"Белый металлик (Glacier white)","#ced1d8"
"Белый, кристалл (Tofana White)","#f1eded"
"Белый, металлик (Glacier White)","#EFF4FF"
"Голубой, металлик (Triton Blue)","#286be5"
"Желтый (Vegas yellow)","#d2c316"
"Зеленый металлик (Camouflage green)","#497422"
"Зеленый, металлик (Azores Green)","#427e17"
"Зеленый, металлик (Gotland Green)","#183626"
"Зелёный, металлик (Sonoma Green)","#4d8621"
"Индивидуальная окраска кузова Audi exclusive","#9e6767"
"Коричневый (Argus Brown)","#7a400d"
"Коричневый металлик (Maya Brown)","#574c35"
"Коричневый металлик (Teak Brown)/Черный матовый (Plain Black)*","#4c4036"
"Коричневый, металлик (Argus Brown)","#70665d"
"Коричневый, металлик (Beluga Brown)","#451d06"
"Коричневый, металлик (Java Brown)","#472505"
"Коричневый, металлик (Soho brown)","#68635f"
"Коричневый, металлик (Teak brown)","#835f25"
"Коричневый, металлик (Tundra Brown)","#82705c"
"Красный (Temperament Red)","#cb1c1c"
"Красный перламутр (Misano red)/Серебристый металлик (Ice silver)","#F7070A"
"Красный перламутр (Misano red)/Черный (Brilliant Black)","#c93c3c"
"Красный, металлик (Matador Red)","#c51c1c"
"Красный, металлик (Seville Red)","#341c2f"
"Красный, металлик (Tango red)","#d61111"
"Красный, металлик (Volcano Red)","#9d311e"
"Красный, перламутр  (Misano Red)","#ba2111"
"Красный, перламутр (Garnet Red)","#f51b1b"
"Оранжевый металлик (Samoa orange)/Серый перламутр (Daytona Grey)","#e88f09"
"Оранжевый металлик (Samoa orange)/Черный (Brilliant black)","#e88f09"
"Оранжевый, металлик (Dragon Orange)","#f5a71f"
"Оранжевый, металлик (Samoa orange)","#c4790f"
"Серебристый лед, металлик","#cdd1d1"
"Серебристый, матовый (Florett Silver)","#888686"
"Серебристый, металлик (Cuvée silver)","#c6c2b7"
"Серебристый, металлик (Floret Silver Metallic)","#d2d5d7"
"Серебристый, металлик (Ice silver)","#a7a2a2"
"Серый (Nardo Grey)","#929397"
"Серый (Quantum grey)","#898282"
"Серый металлик","#aeaaaa"
"Серый металлик (Vesuvius Gray Metallic)","#817d7d"
"Серый, матовый (Daytona Grey)","#7e7575"
"Серый, металлик (Graphite Grey)","#7a7d7c"
"Серый, металлик (Monsoon Grey)","#8d8e94"
"Серый, металлик (Nano grey)","#8a7d7d"
"Серый, металлик (Oolong Grey)","#44484a"
"Серый, металлик (Samurai Grey)","#979c9f"
"Серый, металлик (Suzuka grey)","#dadee1"
"Серый, металлик (Terra Gray Metallic)","#656262"
"Серый, металлик (Tornado Grey)","#a2a9af"
"Серый, металлик (Typhoon Gray)","#757070"
"Серый, перламутр (Daytona Grey)","#515555"
"Серый, перламутр (Lava Grey)","#3b393a"
"Серый, перламутр (Manhattan grey)","#766d6d"
"Синий (Turbo blue)","#0d52a0"
"Синий кристалл (Ara Blue)","#0d46ad"
"Синий металлик (Hainan blue)","#3a79a5"
"Синий перламутр (Sepang Blue)","#1442e3"
"Синий, металлик (Ascari Blue)","#0c39bb"
"Синий, металлик (Cosmos Blue)","#163fb3"
"Синий, металлик (Firmament Blue)","#282d43"
"Синий, металлик (Galaxy Blue)","#284c5c"
"Синий, металлик (Ink Blue)","#3639c0"
"Синий, металлик (Moonlight Blue)","#2f4763"
"Синий, металлик (Navarra Blue)","#293b79"
"Синий, металлик (Scuba blue)","#1d3b5a"
"Синий, металлик (Utopia Blue)","#2259cf"
"Синий, перламутр (Sepang blue)/ Серый (grau)","#1829ca"
"Чёрный (Brilliant black)","#0f0f0f"
"Чёрный (Night Black)","#060304"
"Черный, кристалл (Panther Black)","#181515"
"Черный, металлик (Havana Black)","#000000"
"Чёрный, металлик (Mythos Black)","#202123"
"Черный, металлик (Orca Black)","#232426"
