"Alpine White (Белоснежный)","#ffffff"
"Austin Yellow (Желтый)","#cece53"
"Black Saphire (Черный Сапфир металлик)","#000000"
"BMW Individual","#ffffff"
"BMW Individual Белый Бриллиант металлик","#f6f7f1"
"BMW Individual Дымчатый Топаз","#76605d"
"BMW Individual Кварцевый","#948b82"
"BMW Individual Коричневый Альмандин металлик","#301f25"
"BMW Individual Коричневый Пирит","#484131"
"BMW Individual Красный Авантюрин металлик","#86272b"
"BMW Individual Морозная Бронза","#4a4237"
"BMW Individual Морозный Арктический Серый","#5e5f63"
"BMW Individual Морозный Белый Бриллиант металлик","#ebeae5"
"BMW Individual Морозный Красный","#c64a1b"
"BMW Individual Морозный Серебристый","#c3c8cc"
"BMW Individual Морозный Серебристый Кашемир","#cac3b9"
"BMW Individual Морозный Синий Марина Бэй металлик","#2b5496"
"BMW Individual Морозный Темно-коричневый","#575046"
"BMW Individual Морозный Темно-серебристый","#caced1"
"BMW Individual Морозный Черный","#343434"
"BMW Individual Серебристый Жемчуг","#cfd0d4"
"BMW Individual Серебристый Родонит металлик","#bfbbb8"
"BMW Individual Синий Танзанит","#224ba1"
"BMW Individual Солнечный Камень металлик","#b5ada0"
"BMW Individual Черный Азурит металлик","#27333c"
"BMW Individual Черный Рубин","#443b3c"
"BMW Individual Черный Цитрин","#181713"
"BMW Individual Чистый Металл","#cecfd1"
"Carbon Black (Черный уголь металлик)","#000000"
"Crimson Red","#990c0c"
"Deep Sea Blue (Темно-синий металлик)","#242e50"
"Estoril Blue (Синий)","#495ea3"
"Glacier Silver (Серебристый)","#e8e6e2"
"Havanna (Коричневый металлик)","#827656"
"Havanna Metallic","#70674f"
"Imperial Blue (Синий перламутр)","#322f5d"
"Jatoba Brown (Коричневый)","#5e5950"
"Kalahari Beige","#8c7f65"
"Kalahari Beige (Бежевый металлик)","#c2a168"
"Kallistograu","#5c5959"
"Marrakesh Brown","#8a6319"
"Marrakesh Brown (Коричневый металлик)","#947c44"
"Melbourne Red (Красный перламутр)","#aa2e2e"
"Midnight Blue","#1c2a75"
"Midnight Blue (Синий)","#252d41"
"Mineral Grey (Серый)","#404040"
"Mineral Silver","#7a7777"
"Mineral Silver (Серебристый металлик)","#cfd4bc"
"Mineral White (Белый минерал металлик)","#f5f5f5"
"Orion Silver (Серебристый металлик)","#d8d9b6"
"Sakhir Orange (Оранжевый)","#ce4b18"
"Sophisto Gray (Серый перламутр)","#77828f"
"Sophisto Gray/Frozen Grey metallic accent","#757070"
"Space Gray (Серый металлик)","#7a7872"
"Sparkling Bronze","#705308"
"Sparkling Bronze (Бронзовый металлик)","#795943"
"Sparkling Brown (Коричневый)","#6c6150"
"SPARKLING STORM BRILLANTEFFEKT","#665622"
"Valencia Orange","#e17f15"
"Арктический Серый","#aca9a9"
"Арктический Серый с бриллиантовым эффектом","#35383d"
"Атласский Кедр","#8a8a7e"
"Бежевый Джукайро","#918b7f"
"Белоснежный","#f4f4f4"
"Белый Каппарис с синим акцентом BMW i","#deddd9"
"Белый металлик","#f1f1f1"
"Белый Минерал","#e5e4e2"
"Бронзовый Вермонт","#b1917c"
"Бронзовый Каштан","#b67c1e"
"Голубой Long Beach","#2769d5"
"Голубой Лонг-Бич","#3c81a2"
"Голубой Яс Марина","#617fd2"
"Желтый Остин","#bdb144"
"Золотой Гальваник","#a98f18"
"Индивидуальный цвет","#e4e4e4"
"Искрящийся коричневый","#3c332a"
"Искрящийся Шторм с бриллиантовым эффектом","#5f5744"
"Коричневый Терра","#4a392f"
"Красный кармезин","#d41f1f"
"Красный Мельбурн","#a42d29"
"Красный Мельбурн с акцентом Морозный Серый металлик","#cc2504"
"Красный Роял Бургунди с бриллиантовым эффектом","#4d252d"
"Красный Сан Франциско","#911e1b"
"Красный Фламенко","#cc0b0b"
"Красный Фламенко с бриллиантовым эффектом","#742020"
"Кристально-белый с перламутровым эффектом/с синим акцентом BMW i","#ebeced"
"Лазурный берег","#80a6cb"
"Медный с акцентом Морозный Серый металлик","#936c24"
"Морозный Оранжевый металлик","#d54d23"
"Морозный Серый металлик","#898987"
"Оранжевый Закат","#b2441d"
"Оранжевый Сахир II","#af321c"
"Серебристая Платина","#a9a3a3"
"Серебристый камень металлик","#9a9696"
"Серебристый Кашемир","#cec5bc"
"Серебристый Ледник","#b6b7b9"
"Серебристый металлик","#9f9999"
"Серебристый Сильверстоун","#c5d0d4"
"Серебристый Хоккенхайм металлик","#b4b8b7"
"Серый Атлантик","#4c5554"
"Серый Гранит металлик","#6e7377"
"Серый Донингтон","#837b7b"
"Серый Дравит металлик","#5b5a56"
"Серый Космос","#a7a8a9"
"Серый Магеллан","#939391"
"Серый металлик","#9c9494"
"Серый Минерал","#383e3e"
"Серый Минерал с синим акцентом BMW i","#616469"
"Серый Сингапур","#454a4e"
"Серый Софисто с бриллиантовым эффектом","#292a2c"
"Серый Софисто с бриллиантовым эффектом/с синим акцентом BMW i","#555555"
"Синий Барселона металлик","#697a8e"
"Синий Империал с акцентом Морозный Серый металлик","#3a3156"
"Синий Империал с бриллиантовым эффектом","#29334c"
"Синий металлик","#1e18c0"
"Синий Мизано металлик","#236fb3"
"Синий Портимау","#415f96"
"Синий Сан Марино","#213478"
"Синий Снэппер Рокс металлик","#5bbfd6"
"Синий Соник","#2d5c90"
"Синий средиземноморский","#1f38bd"
"Синий Фитоник","#27537a"
"Синий Эшторил","#4d78b0"
"Средиземноморский Синий","#18253e"
"Темно-синий металлик","#22324c"
"Черный","#131010"
"Черный азурит","#140303"
"Черный Карбон","#090a0f"
"Черный металлик","#181515"
"Черный Сапфир","#282828"
"Черный Флюид с синим акцентом BMW i","#0f0f0f"
"Ятоба","#4c453d"
